,Count,Avg Rating
FAMILY,1746,4.192382588774344
GAME,1097,4.2863263445761195
TOOLS,733,4.047203274215554
PRODUCTIVITY,351,4.211396011396012
MEDICAL,350,4.18914285714286
COMMUNICATION,328,4.158536585365852
FINANCE,323,4.131888544891644
SPORTS,319,4.223510971786835
PHOTOGRAPHY,317,4.192113564668767
LIFESTYLE,314,4.094904458598724
PERSONALIZATION,312,4.335256410256414
BUSINESS,303,4.121452145214522
HEALTH_AND_FITNESS,297,4.2771043771043775
SOCIAL,259,4.255598455598457
SHOPPING,238,4.259663865546221
NEWS_AND_MAGAZINES,233,4.1321888412017165
TRAVEL_AND_LOCAL,226,4.10929203539823
DATING,195,3.9707692307692306
BOOKS_AND_REFERENCE,178,4.346067415730338
VIDEO_PLAYERS,160,4.063750000000001
EDUCATION,155,4.389032258064517
ENTERTAINMENT,149,4.126174496644294
MAPS_AND_NAVIGATION,124,4.051612903225806
FOOD_AND_DRINK,109,4.1669724770642205
HOUSE_AND_HOME,76,4.197368421052633
WEATHER,75,4.243999999999999
AUTO_AND_VEHICLES,73,4.19041095890411
LIBRARIES_AND_DEMO,64,4.1796875
ART_AND_DESIGN,61,4.377049180327869
COMICS,58,4.155172413793104
PARENTING,50,4.300000000000001
EVENTS,45,4.435555555555557
BEAUTY,42,4.278571428571428
